CRC Checker, Copyright 1988, Sydex.  All rights reserved

  FILE                                  CRC     LENGTH      DATE
EGCPM19.BIN                            37372    819200    10/ 5/21
EGCPM19.TXT                            47587       654    10/ 5/21
EGCPM18.LOG                            14655       265    10/ 5/21
EGCPM18.BIN                            30027    819200    10/ 5/21
EGCPM18.TXT                            36226       628    10/ 5/21
EGCPM17.LOG                            49767       304    10/ 5/21
EGCPM17.BIN                            15528    819200    10/ 5/21
EGCPM17.TXT                            37573       667    10/ 5/21
EGCPM16.LOG                            42665       389    10/ 5/21
EGCPM16.BIN                            29208    819200    10/ 5/21
EGCPM16.TXT                            51307       753    10/ 5/21
EGCPM15.LOG                            25131       316    10/ 5/21
EGCPM15.BIN                            52435    819200    10/ 5/21
EGCPM15.TXT                            15636       681    10/ 5/21
EGCPM14.LOG                            16356       295    10/ 5/21
EGCPM14.BIN                            37649    819200    10/ 5/21
EGCPM14.TXT                            28418       658    10/ 5/21
EGCPM13.LOG                            31102       316    10/ 5/21
EGCPM13.BIN                            27322    819200    10/ 5/21
EGCPM13.TXT                            62226       680    10/ 5/21
EGCPM12.LOG                            47113       246    10/ 5/21
EGCPM12.BIN                            47477    819200    10/ 5/21
EGCPM12.TXT                            36231       610    10/ 5/21
EGCPM11.LOG                              498       305    10/ 5/21
EGCPM11.BIN                            62045    819200    10/ 5/21
EGCPM11.TXT                            37814       668    10/ 5/21
-CRCLIST.TXT                               0         0    10/ 5/21

